input: ../data/euclid/euclid500_1.phylip, k: 1, totaltime [s]: 0.104190, #improving moves: 223, #neighborhood scans: 224, time/iter [ms]: 0.265388, ave size neighbor: 996.000000, init. obj: 76818.766179, obj: 71257.139854, impr. rate [%]: 7.239932
input: ../data/euclid/euclid500_2.phylip, k: 1, totaltime [s]: 0.105047, #improving moves: 218, #neighborhood scans: 219, time/iter [ms]: 0.276858, ave size neighbor: 996.000000, init. obj: 73844.297329, obj: 72501.886067, impr. rate [%]: 1.817894
input: ../data/euclid/euclid500_3.phylip, k: 1, totaltime [s]: 0.106667, #improving moves: 234, #neighborhood scans: 235, time/iter [ms]: 0.256460, ave size neighbor: 996.000000, init. obj: 75882.928432, obj: 70347.137687, impr. rate [%]: 7.295173
input: ../data/euclid/euclid500_4.phylip, k: 1, totaltime [s]: 0.100017, #improving moves: 209, #neighborhood scans: 210, time/iter [ms]: 0.273286, ave size neighbor: 996.000000, init. obj: 79200.053096, obj: 72153.380512, impr. rate [%]: 8.897308
input: ../data/euclid/euclid500_5.phylip, k: 1, totaltime [s]: 0.097513, #improving moves: 216, #neighborhood scans: 217, time/iter [ms]: 0.243594, ave size neighbor: 996.000000, init. obj: 73584.918601, obj: 72920.846382, impr. rate [%]: 0.902457
input: ../data/euclid/euclid500_6.phylip, k: 1, totaltime [s]: 0.100616, #improving moves: 218, #neighborhood scans: 219, time/iter [ms]: 0.261279, ave size neighbor: 996.000000, init. obj: 78038.841505, obj: 76733.327126, impr. rate [%]: 1.672903
input: ../data/euclid/euclid500_7.phylip, k: 1, totaltime [s]: 0.087921, #improving moves: 173, #neighborhood scans: 174, time/iter [ms]: 0.246638, ave size neighbor: 996.000000, init. obj: 76051.535602, obj: 75546.918597, impr. rate [%]: 0.663520
input: ../data/euclid/euclid500_8.phylip, k: 1, totaltime [s]: 0.107477, #improving moves: 240, #neighborhood scans: 241, time/iter [ms]: 0.262614, ave size neighbor: 996.000000, init. obj: 75928.578967, obj: 72459.592134, impr. rate [%]: 4.568750
input: ../data/euclid/euclid500_9.phylip, k: 1, totaltime [s]: 0.110085, #improving moves: 256, #neighborhood scans: 257, time/iter [ms]: 0.262568, ave size neighbor: 996.000000, init. obj: 77058.593058, obj: 75164.872614, impr. rate [%]: 2.457507
input: ../data/euclid/euclid500_10.phylip, k: 1, totaltime [s]: 0.102108, #improving moves: 237, #neighborhood scans: 238, time/iter [ms]: 0.246891, ave size neighbor: 996.000000, init. obj: 75985.356233, obj: 71387.241738, impr. rate [%]: 6.051317
input: ../data/euclid/euclid500_11.phylip, k: 1, totaltime [s]: 0.100770, #improving moves: 227, #neighborhood scans: 228, time/iter [ms]: 0.251254, ave size neighbor: 996.000000, init. obj: 78800.343416, obj: 77899.323613, impr. rate [%]: 1.143421
input: ../data/euclid/euclid500_12.phylip, k: 1, totaltime [s]: 0.106432, #improving moves: 244, #neighborhood scans: 245, time/iter [ms]: 0.261057, ave size neighbor: 996.000000, init. obj: 78518.278963, obj: 77318.037167, impr. rate [%]: 1.528614
input: ../data/euclid/euclid500_13.phylip, k: 1, totaltime [s]: 0.103444, #improving moves: 243, #neighborhood scans: 244, time/iter [ms]: 0.241795, ave size neighbor: 996.000000, init. obj: 74365.968196, obj: 73076.093411, impr. rate [%]: 1.734496
input: ../data/euclid/euclid500_14.phylip, k: 1, totaltime [s]: 0.092061, #improving moves: 192, #neighborhood scans: 193, time/iter [ms]: 0.256959, ave size neighbor: 996.000000, init. obj: 79775.054148, obj: 78996.664591, impr. rate [%]: 0.975731
input: ../data/euclid/euclid500_15.phylip, k: 1, totaltime [s]: 0.104291, #improving moves: 238, #neighborhood scans: 239, time/iter [ms]: 0.249799, ave size neighbor: 996.000000, init. obj: 78447.661363, obj: 77917.751535, impr. rate [%]: 0.675495
input: ../data/euclid/euclid500_16.phylip, k: 1, totaltime [s]: 0.106358, #improving moves: 242, #neighborhood scans: 243, time/iter [ms]: 0.262070, ave size neighbor: 996.000000, init. obj: 74469.713897, obj: 72884.902706, impr. rate [%]: 2.128128
