input: ../data/euclid/euclid15_11.phylip, k: 2, totaltime [s]: 0.000069, #improving moves: 1, #neighborhood scans: 2, time/iter [ms]: 0.011500, ave size neighbor: 68.000000, init. obj: 249.448579, obj: 243.514123, impr. rate [%]: 2.379030
input: ../data/euclid/euclid15_12.phylip, k: 2, totaltime [s]: 0.000103, #improving moves: 3, #neighborhood scans: 4, time/iter [ms]: 0.013750, ave size neighbor: 68.000000, init. obj: 263.865401, obj: 240.058142, impr. rate [%]: 9.022501
input: ../data/euclid/euclid15_13.phylip, k: 2, totaltime [s]: 0.000183, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.013100, ave size neighbor: 67.400000, init. obj: 343.066535, obj: 305.956370, impr. rate [%]: 10.817192
input: ../data/euclid/euclid15_14.phylip, k: 2, totaltime [s]: 0.000083, #improving moves: 2, #neighborhood scans: 3, time/iter [ms]: 0.011667, ave size neighbor: 60.000000, init. obj: 245.283004, obj: 244.126062, impr. rate [%]: 0.471676
input: ../data/euclid/euclid15_15.phylip, k: 2, totaltime [s]: 0.000168, #improving moves: 8, #neighborhood scans: 9, time/iter [ms]: 0.012889, ave size neighbor: 64.444444, init. obj: 355.562882, obj: 301.048300, impr. rate [%]: 15.331910
input: ../data/euclid/euclid15_1.phylip, k: 3, totaltime [s]: 0.000238, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.018800, ave size neighbor: 108.000000, init. obj: 317.158718, obj: 279.935817, impr. rate [%]: 11.736364
input: ../data/euclid/euclid15_2.phylip, k: 3, totaltime [s]: 0.000166, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.019000, ave size neighbor: 100.000000, init. obj: 248.873220, obj: 212.506650, impr. rate [%]: 14.612488
input: ../data/euclid/euclid15_3.phylip, k: 3, totaltime [s]: 0.000254, #improving moves: 10, #neighborhood scans: 11, time/iter [ms]: 0.018636, ave size neighbor: 103.272727, init. obj: 373.939770, obj: 217.276934, impr. rate [%]: 41.895206
input: ../data/euclid/euclid15_4.phylip, k: 3, totaltime [s]: 0.000204, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.025000, ave size neighbor: 112.666667, init. obj: 232.070166, obj: 205.707542, impr. rate [%]: 11.359764
input: ../data/euclid/euclid15_5.phylip, k: 3, totaltime [s]: 0.000152, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.020400, ave size neighbor: 110.400000, init. obj: 254.319800, obj: 243.120743, impr. rate [%]: 4.403533
input: ../data/euclid/euclid15_6.phylip, k: 3, totaltime [s]: 0.000138, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.017600, ave size neighbor: 106.800000, init. obj: 231.521232, obj: 225.525738, impr. rate [%]: 2.589609
input: ../data/euclid/euclid15_7.phylip, k: 3, totaltime [s]: 0.000218, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.016900, ave size neighbor: 101.600000, init. obj: 307.453881, obj: 271.223505, impr. rate [%]: 11.784003
input: ../data/euclid/euclid15_8.phylip, k: 3, totaltime [s]: 0.000199, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.018625, ave size neighbor: 101.750000, init. obj: 352.306981, obj: 254.473822, impr. rate [%]: 27.769293
input: ../data/euclid/euclid15_9.phylip, k: 3, totaltime [s]: 0.000158, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.021800, ave size neighbor: 123.600000, init. obj: 291.640249, obj: 276.121541, impr. rate [%]: 5.321182
input: ../data/euclid/euclid15_10.phylip, k: 3, totaltime [s]: 0.000254, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.025625, ave size neighbor: 97.000000, init. obj: 390.301476, obj: 310.779278, impr. rate [%]: 20.374557
input: ../data/euclid/euclid15_11.phylip, k: 3, totaltime [s]: 0.000123, #improving moves: 1, #neighborhood scans: 2, time/iter [ms]: 0.039000, ave size neighbor: 123.000000, init. obj: 249.448579, obj: 243.514123, impr. rate [%]: 2.379030
input: ../data/euclid/euclid15_12.phylip, k: 3, totaltime [s]: 0.000136, #improving moves: 3, #neighborhood scans: 4, time/iter [ms]: 0.022000, ave size neighbor: 128.000000, init. obj: 263.865401, obj: 240.058142, impr. rate [%]: 9.022501
input: ../data/euclid/euclid15_13.phylip, k: 3, totaltime [s]: 0.000326, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.027300, ave size neighbor: 110.600000, init. obj: 343.066535, obj: 305.956370, impr. rate [%]: 10.817192
input: ../data/euclid/euclid15_14.phylip, k: 3, totaltime [s]: 0.000101, #improving moves: 2, #neighborhood scans: 3, time/iter [ms]: 0.017667, ave size neighbor: 98.000000, init. obj: 245.283004, obj: 244.126062, impr. rate [%]: 0.471676
input: ../data/euclid/euclid15_15.phylip, k: 3, totaltime [s]: 0.000181, #improving moves: 6, #neighborhood scans: 7, time/iter [ms]: 0.018857, ave size neighbor: 111.142857, init. obj: 355.562882, obj: 301.048300, impr. rate [%]: 15.331910
input: ../data/euclid/euclid15_1.phylip, k: 4, totaltime [s]: 0.000342, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.029100, ave size neighbor: 150.800000, init. obj: 317.158718, obj: 279.935817, impr. rate [%]: 11.736364
input: ../data/euclid/euclid15_2.phylip, k: 4, totaltime [s]: 0.000204, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.025667, ave size neighbor: 138.666667, init. obj: 248.873220, obj: 212.506650, impr. rate [%]: 14.612488
input: ../data/euclid/euclid15_3.phylip, k: 4, totaltime [s]: 0.000477, #improving moves: 10, #neighborhood scans: 11, time/iter [ms]: 0.038727, ave size neighbor: 146.181818, init. obj: 373.939770, obj: 217.276934, impr. rate [%]: 41.895206
input: ../data/euclid/euclid15_4.phylip, k: 4, totaltime [s]: 0.000220, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.028833, ave size neighbor: 158.333333, init. obj: 232.070166, obj: 205.707542, impr. rate [%]: 11.359764
input: ../data/euclid/euclid15_5.phylip, k: 4, totaltime [s]: 0.000200, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.029600, ave size neighbor: 162.000000, init. obj: 254.319800, obj: 243.120743, impr. rate [%]: 4.403533
input: ../data/euclid/euclid15_6.phylip, k: 4, totaltime [s]: 0.000183, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.027200, ave size neighbor: 151.600000, init. obj: 231.521232, obj: 225.525738, impr. rate [%]: 2.589609
input: ../data/euclid/euclid15_7.phylip, k: 4, totaltime [s]: 0.000304, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.025500, ave size neighbor: 144.600000, init. obj: 307.453881, obj: 271.223505, impr. rate [%]: 11.784003
