input: ../data/euclid/euclid500_1.phylip, k: 1, totaltime [s]: 0.093438, #improving moves: 256, #neighborhood scans: 257, time/iter [ms]: 0.232669, ave size neighbor: 996.000000, init. obj: 24256550.419197, obj: 21981220.398678, impr. rate [%]: 9.380270
input: ../data/euclid/euclid500_2.phylip, k: 1, totaltime [s]: 0.069658, #improving moves: 202, #neighborhood scans: 203, time/iter [ms]: 0.180404, ave size neighbor: 996.000000, init. obj: 23378326.810005, obj: 22743919.737469, impr. rate [%]: 2.713655
input: ../data/euclid/euclid500_3.phylip, k: 1, totaltime [s]: 0.070289, #improving moves: 217, #neighborhood scans: 218, time/iter [ms]: 0.184436, ave size neighbor: 996.000000, init. obj: 23838761.831871, obj: 22829120.081094, impr. rate [%]: 4.235294
input: ../data/euclid/euclid500_4.phylip, k: 1, totaltime [s]: 0.079531, #improving moves: 234, #neighborhood scans: 235, time/iter [ms]: 0.196553, ave size neighbor: 996.000000, init. obj: 24798510.841585, obj: 22988654.269753, impr. rate [%]: 7.298247
input: ../data/euclid/euclid500_5.phylip, k: 1, totaltime [s]: 0.067658, #improving moves: 218, #neighborhood scans: 219, time/iter [ms]: 0.172630, ave size neighbor: 996.000000, init. obj: 23225407.149746, obj: 22882798.715566, impr. rate [%]: 1.475145
input: ../data/euclid/euclid500_6.phylip, k: 1, totaltime [s]: 0.070478, #improving moves: 211, #neighborhood scans: 212, time/iter [ms]: 0.173863, ave size neighbor: 996.000000, init. obj: 24709702.119493, obj: 24024191.976371, impr. rate [%]: 2.774255
input: ../data/euclid/euclid500_7.phylip, k: 1, totaltime [s]: 0.061814, #improving moves: 172, #neighborhood scans: 173, time/iter [ms]: 0.179595, ave size neighbor: 996.000000, init. obj: 23793718.904236, obj: 23473871.395536, impr. rate [%]: 1.344252
input: ../data/euclid/euclid500_8.phylip, k: 1, totaltime [s]: 0.076803, #improving moves: 231, #neighborhood scans: 232, time/iter [ms]: 0.199470, ave size neighbor: 996.000000, init. obj: 24016740.232963, obj: 22692803.465714, impr. rate [%]: 5.512558
input: ../data/euclid/euclid500_9.phylip, k: 1, totaltime [s]: 0.077659, #improving moves: 263, #neighborhood scans: 264, time/iter [ms]: 0.180758, ave size neighbor: 996.000000, init. obj: 24401724.793322, obj: 23574372.142060, impr. rate [%]: 3.390550
input: ../data/euclid/euclid500_10.phylip, k: 1, totaltime [s]: 0.072525, #improving moves: 227, #neighborhood scans: 228, time/iter [ms]: 0.176092, ave size neighbor: 996.000000, init. obj: 23869690.293660, obj: 22275507.861532, impr. rate [%]: 6.678689
input: ../data/euclid/euclid500_11.phylip, k: 1, totaltime [s]: 0.072916, #improving moves: 228, #neighborhood scans: 229, time/iter [ms]: 0.177022, ave size neighbor: 996.000000, init. obj: 24881690.968651, obj: 24398033.430594, impr. rate [%]: 1.943829
input: ../data/euclid/euclid500_12.phylip, k: 1, totaltime [s]: 0.069357, #improving moves: 206, #neighborhood scans: 207, time/iter [ms]: 0.177995, ave size neighbor: 996.000000, init. obj: 24825103.305061, obj: 24399767.097016, impr. rate [%]: 1.713331
input: ../data/euclid/euclid500_13.phylip, k: 1, totaltime [s]: 0.074243, #improving moves: 216, #neighborhood scans: 217, time/iter [ms]: 0.184267, ave size neighbor: 996.000000, init. obj: 23444381.851214, obj: 22675597.269209, impr. rate [%]: 3.279185
