input: ../data/euclid/euclid100_1.phylip, k: 1, totaltime [s]: 0.002232, #improving moves: 31, #neighborhood scans: 32, time/iter [ms]: 0.037250, ave size neighbor: 196.000000, init. obj: 2739.032551, obj: 2682.423258, impr. rate [%]: 2.066762
input: ../data/euclid/euclid100_2.phylip, k: 1, totaltime [s]: 0.002889, #improving moves: 46, #neighborhood scans: 47, time/iter [ms]: 0.037447, ave size neighbor: 196.000000, init. obj: 2589.851261, obj: 2554.374080, impr. rate [%]: 1.369854
input: ../data/euclid/euclid100_3.phylip, k: 1, totaltime [s]: 0.001823, #improving moves: 21, #neighborhood scans: 22, time/iter [ms]: 0.036091, ave size neighbor: 196.000000, init. obj: 2758.664827, obj: 2753.072529, impr. rate [%]: 0.202718
input: ../data/euclid/euclid100_4.phylip, k: 1, totaltime [s]: 0.002714, #improving moves: 40, #neighborhood scans: 41, time/iter [ms]: 0.041415, ave size neighbor: 196.000000, init. obj: 3008.505676, obj: 2663.691248, impr. rate [%]: 11.461319
input: ../data/euclid/euclid100_5.phylip, k: 1, totaltime [s]: 0.003658, #improving moves: 60, #neighborhood scans: 61, time/iter [ms]: 0.042148, ave size neighbor: 196.000000, init. obj: 2735.449022, obj: 2200.368299, impr. rate [%]: 19.560983
input: ../data/euclid/euclid100_6.phylip, k: 1, totaltime [s]: 0.002903, #improving moves: 42, #neighborhood scans: 43, time/iter [ms]: 0.039767, ave size neighbor: 196.000000, init. obj: 2466.435234, obj: 2124.956514, impr. rate [%]: 13.845031
input: ../data/euclid/euclid100_7.phylip, k: 1, totaltime [s]: 0.002698, #improving moves: 43, #neighborhood scans: 44, time/iter [ms]: 0.038977, ave size neighbor: 196.000000, init. obj: 2721.965392, obj: 2683.403492, impr. rate [%]: 1.416693
input: ../data/euclid/euclid100_8.phylip, k: 1, totaltime [s]: 0.002961, #improving moves: 46, #neighborhood scans: 47, time/iter [ms]: 0.039277, ave size neighbor: 196.000000, init. obj: 2676.815977, obj: 2561.759135, impr. rate [%]: 4.298272
input: ../data/euclid/euclid100_9.phylip, k: 1, totaltime [s]: 0.002333, #improving moves: 33, #neighborhood scans: 34, time/iter [ms]: 0.038265, ave size neighbor: 196.000000, init. obj: 2569.515681, obj: 2523.401724, impr. rate [%]: 1.794656
input: ../data/euclid/euclid100_10.phylip, k: 1, totaltime [s]: 0.001978, #improving moves: 23, #neighborhood scans: 24, time/iter [ms]: 0.039625, ave size neighbor: 196.000000, init. obj: 2607.547337, obj: 2591.914653, impr. rate [%]: 0.599517
input: ../data/euclid/euclid100_11.phylip, k: 1, totaltime [s]: 0.002205, #improving moves: 29, #neighborhood scans: 30, time/iter [ms]: 0.038700, ave size neighbor: 196.000000, init. obj: 2424.194589, obj: 2392.022554, impr. rate [%]: 1.327123
input: ../data/euclid/euclid100_12.phylip, k: 1, totaltime [s]: 0.002990, #improving moves: 51, #neighborhood scans: 52, time/iter [ms]: 0.036500, ave size neighbor: 196.000000, init. obj: 2401.388421, obj: 2370.750577, impr. rate [%]: 1.275839
input: ../data/euclid/euclid100_13.phylip, k: 1, totaltime [s]: 0.002872, #improving moves: 49, #neighborhood scans: 50, time/iter [ms]: 0.034300, ave size neighbor: 196.000000, init. obj: 2549.266405, obj: 2541.417414, impr. rate [%]: 0.307892
input: ../data/euclid/euclid100_14.phylip, k: 1, totaltime [s]: 0.003477, #improving moves: 53, #neighborhood scans: 54, time/iter [ms]: 0.044722, ave size neighbor: 196.000000, init. obj: 2825.511668, obj: 2300.653962, impr. rate [%]: 18.575669
input: ../data/euclid/euclid100_15.phylip, k: 1, totaltime [s]: 0.002824, #improving moves: 44, #neighborhood scans: 45, time/iter [ms]: 0.036644, ave size neighbor: 196.000000, init. obj: 2809.699742, obj: 2759.990298, impr. rate [%]: 1.769208
input: ../data/euclid/euclid100_16.phylip, k: 1, totaltime [s]: 0.002337, #improving moves: 30, #neighborhood scans: 31, time/iter [ms]: 0.041581, ave size neighbor: 196.000000, init. obj: 2923.498994, obj: 2895.867769, impr. rate [%]: 0.945142
input: ../data/euclid/euclid100_17.phylip, k: 1, totaltime [s]: 0.002902, #improving moves: 40, #neighborhood scans: 41, time/iter [ms]: 0.042756, ave size neighbor: 196.000000, init. obj: 2593.730510, obj: 2254.379066, impr. rate [%]: 13.083527
input: ../data/euclid/euclid100_18.phylip, k: 1, totaltime [s]: 0.002382, #improving moves: 37, #neighborhood scans: 38, time/iter [ms]: 0.035553, ave size neighbor: 196.000000, init. obj: 2588.516564, obj: 2583.080045, impr. rate [%]: 0.210025
input: ../data/euclid/euclid100_19.phylip, k: 1, totaltime [s]: 0.003112, #improving moves: 53, #neighborhood scans: 54, time/iter [ms]: 0.036463, ave size neighbor: 196.000000, init. obj: 2524.468166, obj: 2437.973931, impr. rate [%]: 3.426236
input: ../data/euclid/euclid100_20.phylip, k: 1, totaltime [s]: 0.003166, #improving moves: 50, #neighborhood scans: 51, time/iter [ms]: 0.041902, ave size neighbor: 196.000000, init. obj: 2829.099460, obj: 2498.681363, impr. rate [%]: 11.679268
input: ../data/euclid/euclid100_1.phylip, k: 2, totaltime [s]: 0.007127, #improving moves: 70, #neighborhood scans: 71, time/iter [ms]: 0.085169, ave size neighbor: 523.267606, init. obj: 2739.032551, obj: 2584.938773, impr. rate [%]: 5.625847
input: ../data/euclid/euclid100_2.phylip, k: 2, totaltime [s]: 0.006108, #improving moves: 61, #neighborhood scans: 62, time/iter [ms]: 0.081016, ave size neighbor: 521.935484, init. obj: 2589.851261, obj: 2334.842452, impr. rate [%]: 9.846465
input: ../data/euclid/euclid100_3.phylip, k: 2, totaltime [s]: 0.003609, #improving moves: 30, #neighborhood scans: 31, time/iter [ms]: 0.082710, ave size neighbor: 527.741935, init. obj: 2758.664827, obj: 2678.891271, impr. rate [%]: 2.891745
input: ../data/euclid/euclid100_4.phylip, k: 2, totaltime [s]: 0.007563, #improving moves: 77, #neighborhood scans: 78, time/iter [ms]: 0.082936, ave size neighbor: 515.794872, init. obj: 3008.505676, obj: 2113.843570, impr. rate [%]: 29.737757
input: ../data/euclid/euclid100_5.phylip, k: 2, totaltime [s]: 0.006171, #improving moves: 61, #neighborhood scans: 62, time/iter [ms]: 0.082726, ave size neighbor: 527.870968, init. obj: 2735.449022, obj: 2163.229384, impr. rate [%]: 20.918673
input: ../data/euclid/euclid100_6.phylip, k: 2, totaltime [s]: 0.006083, #improving moves: 56, #neighborhood scans: 57, time/iter [ms]: 0.086439, ave size neighbor: 511.894737, init. obj: 2466.435234, obj: 2091.518714, impr. rate [%]: 15.200745
input: ../data/euclid/euclid100_7.phylip, k: 2, totaltime [s]: 0.006035, #improving moves: 59, #neighborhood scans: 60, time/iter [ms]: 0.082667, ave size neighbor: 524.733333, init. obj: 2721.965392, obj: 2554.358888, impr. rate [%]: 6.157555
input: ../data/euclid/euclid100_8.phylip, k: 2, totaltime [s]: 0.005479, #improving moves: 52, #neighborhood scans: 53, time/iter [ms]: 0.082698, ave size neighbor: 524.981132, init. obj: 2676.815977, obj: 2552.295336, impr. rate [%]: 4.651819
input: ../data/euclid/euclid100_9.phylip, k: 2, totaltime [s]: 0.004300, #improving moves: 38, #neighborhood scans: 39, time/iter [ms]: 0.083487, ave size neighbor: 536.820513, init. obj: 2569.515681, obj: 2459.763758, impr. rate [%]: 4.271308
input: ../data/euclid/euclid100_10.phylip, k: 2, totaltime [s]: 0.005298, #improving moves: 51, #neighborhood scans: 52, time/iter [ms]: 0.081173, ave size neighbor: 521.076923, init. obj: 2607.547337, obj: 2353.150068, impr. rate [%]: 9.756190
input: ../data/euclid/euclid100_11.phylip, k: 2, totaltime [s]: 0.006409, #improving moves: 64, #neighborhood scans: 65, time/iter [ms]: 0.082708, ave size neighbor: 517.230769, init. obj: 2424.194589, obj: 2296.572159, impr. rate [%]: 5.264529
input: ../data/euclid/euclid100_12.phylip, k: 2, totaltime [s]: 0.006433, #improving moves: 66, #neighborhood scans: 67, time/iter [ms]: 0.080224, ave size neighbor: 516.955224, init. obj: 2401.388421, obj: 2120.913590, impr. rate [%]: 11.679695
input: ../data/euclid/euclid100_13.phylip, k: 2, totaltime [s]: 0.006127, #improving moves: 62, #neighborhood scans: 63, time/iter [ms]: 0.079984, ave size neighbor: 515.111111, init. obj: 2549.266405, obj: 2405.542390, impr. rate [%]: 5.637858
input: ../data/euclid/euclid100_14.phylip, k: 2, totaltime [s]: 0.005452, #improving moves: 52, #neighborhood scans: 53, time/iter [ms]: 0.082434, ave size neighbor: 525.886792, init. obj: 2825.511668, obj: 2460.846907, impr. rate [%]: 12.906150
input: ../data/euclid/euclid100_15.phylip, k: 2, totaltime [s]: 0.005544, #improving moves: 52, #neighborhood scans: 53, time/iter [ms]: 0.082736, ave size neighbor: 531.094340, init. obj: 2809.699742, obj: 2705.193352, impr. rate [%]: 3.719486
input: ../data/euclid/euclid100_16.phylip, k: 2, totaltime [s]: 0.005874, #improving moves: 55, #neighborhood scans: 56, time/iter [ms]: 0.085089, ave size neighbor: 523.857143, init. obj: 2923.498994, obj: 2395.667270, impr. rate [%]: 18.054794
input: ../data/euclid/euclid100_17.phylip, k: 2, totaltime [s]: 0.005519, #improving moves: 55, #neighborhood scans: 56, time/iter [ms]: 0.079518, ave size neighbor: 524.892857, init. obj: 2593.730510, obj: 1964.584991, impr. rate [%]: 24.256395
input: ../data/euclid/euclid100_18.phylip, k: 2, totaltime [s]: 0.005964, #improving moves: 58, #neighborhood scans: 59, time/iter [ms]: 0.082576, ave size neighbor: 524.135593, init. obj: 2588.516564, obj: 2298.042316, impr. rate [%]: 11.221649
input: ../data/euclid/euclid100_19.phylip, k: 2, totaltime [s]: 0.005036, #improving moves: 50, #neighborhood scans: 51, time/iter [ms]: 0.077627, ave size neighbor: 512.941176, init. obj: 2524.468166, obj: 2432.830011, impr. rate [%]: 3.629998
