input: ../data/euclid/euclid100_6.phylip, k: 2, totaltime [s]: 0.004536, #improving moves: 48, #neighborhood scans: 49, time/iter [ms]: 0.074959, ave size neighbor: 514.040816, init. obj: 153540.871522, obj: 124114.304591, impr. rate [%]: 19.165299
input: ../data/euclid/euclid100_7.phylip, k: 2, totaltime [s]: 0.005322, #improving moves: 61, #neighborhood scans: 62, time/iter [ms]: 0.072484, ave size neighbor: 524.354839, init. obj: 164251.023861, obj: 151460.686244, impr. rate [%]: 7.787067
input: ../data/euclid/euclid100_8.phylip, k: 2, totaltime [s]: 0.006152, #improving moves: 64, #neighborhood scans: 65, time/iter [ms]: 0.080769, ave size neighbor: 522.184615, init. obj: 163437.569510, obj: 125828.432846, impr. rate [%]: 23.011317
input: ../data/euclid/euclid100_9.phylip, k: 2, totaltime [s]: 0.004061, #improving moves: 41, #neighborhood scans: 42, time/iter [ms]: 0.075476, ave size neighbor: 531.809524, init. obj: 157126.232238, obj: 151597.144293, impr. rate [%]: 3.518883
input: ../data/euclid/euclid100_10.phylip, k: 2, totaltime [s]: 0.003515, #improving moves: 35, #neighborhood scans: 36, time/iter [ms]: 0.073806, ave size neighbor: 521.333333, init. obj: 154667.803552, obj: 152547.237583, impr. rate [%]: 1.371046
input: ../data/euclid/euclid100_11.phylip, k: 2, totaltime [s]: 0.005631, #improving moves: 61, #neighborhood scans: 62, time/iter [ms]: 0.076565, ave size neighbor: 516.516129, init. obj: 149039.616244, obj: 140710.323398, impr. rate [%]: 5.588644
input: ../data/euclid/euclid100_12.phylip, k: 2, totaltime [s]: 0.005816, #improving moves: 64, #neighborhood scans: 65, time/iter [ms]: 0.076169, ave size neighbor: 520.553846, init. obj: 147174.610407, obj: 123736.248319, impr. rate [%]: 15.925547
input: ../data/euclid/euclid100_13.phylip, k: 2, totaltime [s]: 0.005205, #improving moves: 57, #neighborhood scans: 58, time/iter [ms]: 0.073069, ave size neighbor: 511.172414, init. obj: 154868.092891, obj: 142646.624791, impr. rate [%]: 7.891534
input: ../data/euclid/euclid100_14.phylip, k: 2, totaltime [s]: 0.004509, #improving moves: 47, #neighborhood scans: 48, time/iter [ms]: 0.075271, ave size neighbor: 525.708333, init. obj: 174702.353401, obj: 147595.720030, impr. rate [%]: 15.515895
input: ../data/euclid/euclid100_15.phylip, k: 2, totaltime [s]: 0.004050, #improving moves: 40, #neighborhood scans: 41, time/iter [ms]: 0.075293, ave size neighbor: 534.048780, init. obj: 170827.550483, obj: 161022.112494, impr. rate [%]: 5.739963
input: ../data/euclid/euclid100_16.phylip, k: 2, totaltime [s]: 0.004700, #improving moves: 48, #neighborhood scans: 49, time/iter [ms]: 0.076898, ave size neighbor: 512.489796, init. obj: 174958.595358, obj: 142083.427263, impr. rate [%]: 18.790256
input: ../data/euclid/euclid100_17.phylip, k: 2, totaltime [s]: 0.004748, #improving moves: 48, #neighborhood scans: 49, time/iter [ms]: 0.078796, ave size neighbor: 520.448980, init. obj: 159291.187488, obj: 117936.936725, impr. rate [%]: 25.961418
input: ../data/euclid/euclid100_18.phylip, k: 2, totaltime [s]: 0.005380, #improving moves: 57, #neighborhood scans: 58, time/iter [ms]: 0.076948, ave size neighbor: 525.241379, init. obj: 157979.666993, obj: 134941.687758, impr. rate [%]: 14.582876
input: ../data/euclid/euclid100_19.phylip, k: 2, totaltime [s]: 0.005004, #improving moves: 55, #neighborhood scans: 56, time/iter [ms]: 0.073482, ave size neighbor: 510.928571, init. obj: 154106.141885, obj: 145407.434268, impr. rate [%]: 5.644621
input: ../data/euclid/euclid100_20.phylip, k: 2, totaltime [s]: 0.005209, #improving moves: 53, #neighborhood scans: 54, time/iter [ms]: 0.080222, ave size neighbor: 527.000000, init. obj: 174917.391815, obj: 146259.293751, impr. rate [%]: 16.383790
input: ../data/euclid/euclid100_1.phylip, k: 3, totaltime [s]: 0.008098, #improving moves: 47, #neighborhood scans: 48, time/iter [ms]: 0.149646, ave size neighbor: 1012.625000, init. obj: 168282.257814, obj: 136807.123511, impr. rate [%]: 18.703775
input: ../data/euclid/euclid100_2.phylip, k: 3, totaltime [s]: 0.008241, #improving moves: 51, #neighborhood scans: 52, time/iter [ms]: 0.140846, ave size neighbor: 986.538462, init. obj: 158763.419155, obj: 140658.468329, impr. rate [%]: 11.403729
input: ../data/euclid/euclid100_3.phylip, k: 3, totaltime [s]: 0.006496, #improving moves: 39, #neighborhood scans: 40, time/iter [ms]: 0.141150, ave size neighbor: 1000.700000, init. obj: 167657.409657, obj: 160764.374096, impr. rate [%]: 4.111381
input: ../data/euclid/euclid100_4.phylip, k: 3, totaltime [s]: 0.012708, #improving moves: 80, #neighborhood scans: 81, time/iter [ms]: 0.145901, ave size neighbor: 967.580247, init. obj: 182981.006286, obj: 118312.436904, impr. rate [%]: 35.341684
input: ../data/euclid/euclid100_5.phylip, k: 3, totaltime [s]: 0.011502, #improving moves: 67, #neighborhood scans: 68, time/iter [ms]: 0.151044, ave size neighbor: 984.911765, init. obj: 167899.854843, obj: 125781.082856, impr. rate [%]: 25.085651
input: ../data/euclid/euclid100_6.phylip, k: 3, totaltime [s]: 0.009930, #improving moves: 64, #neighborhood scans: 65, time/iter [ms]: 0.138938, ave size neighbor: 960.061538, init. obj: 153540.871522, obj: 117068.837393, impr. rate [%]: 23.753958
input: ../data/euclid/euclid100_7.phylip, k: 3, totaltime [s]: 0.012367, #improving moves: 76, #neighborhood scans: 77, time/iter [ms]: 0.149195, ave size neighbor: 1016.207792, init. obj: 164251.023861, obj: 123822.883646, impr. rate [%]: 24.613631
input: ../data/euclid/euclid100_8.phylip, k: 3, totaltime [s]: 0.009472, #improving moves: 58, #neighborhood scans: 59, time/iter [ms]: 0.145407, ave size neighbor: 966.372881, init. obj: 163437.569510, obj: 130609.808139, impr. rate [%]: 20.085811
input: ../data/euclid/euclid100_9.phylip, k: 3, totaltime [s]: 0.007151, #improving moves: 43, #neighborhood scans: 44, time/iter [ms]: 0.143182, ave size neighbor: 999.363636, init. obj: 157126.232238, obj: 151534.499657, impr. rate [%]: 3.558752
input: ../data/euclid/euclid100_10.phylip, k: 3, totaltime [s]: 0.007976, #improving moves: 48, #neighborhood scans: 49, time/iter [ms]: 0.145408, ave size neighbor: 983.591837, init. obj: 154667.803552, obj: 135938.952808, impr. rate [%]: 12.109082
input: ../data/euclid/euclid100_11.phylip, k: 3, totaltime [s]: 0.010219, #improving moves: 65, #neighborhood scans: 66, time/iter [ms]: 0.141833, ave size neighbor: 972.666667, init. obj: 149039.616244, obj: 134189.633723, impr. rate [%]: 9.963782
input: ../data/euclid/euclid100_12.phylip, k: 3, totaltime [s]: 0.011430, #improving moves: 69, #neighborhood scans: 70, time/iter [ms]: 0.149343, ave size neighbor: 975.171429, init. obj: 147174.610407, obj: 121008.090189, impr. rate [%]: 17.779235
input: ../data/euclid/euclid100_13.phylip, k: 3, totaltime [s]: 0.008331, #improving moves: 54, #neighborhood scans: 55, time/iter [ms]: 0.135855, ave size neighbor: 952.800000, init. obj: 154868.092891, obj: 142605.903912, impr. rate [%]: 7.917828
input: ../data/euclid/euclid100_14.phylip, k: 3, totaltime [s]: 0.009317, #improving moves: 55, #neighborhood scans: 56, time/iter [ms]: 0.150732, ave size neighbor: 1016.785714, init. obj: 174702.353401, obj: 129471.694563, impr. rate [%]: 25.890126
input: ../data/euclid/euclid100_15.phylip, k: 3, totaltime [s]: 0.009397, #improving moves: 58, #neighborhood scans: 59, time/iter [ms]: 0.144085, ave size neighbor: 1010.237288, init. obj: 170827.550483, obj: 147357.046530, impr. rate [%]: 13.739297
input: ../data/euclid/euclid100_16.phylip, k: 3, totaltime [s]: 0.007714, #improving moves: 47, #neighborhood scans: 48, time/iter [ms]: 0.142708, ave size neighbor: 975.375000, init. obj: 174958.595358, obj: 142083.427263, impr. rate [%]: 18.790256
input: ../data/euclid/euclid100_17.phylip, k: 3, totaltime [s]: 0.008356, #improving moves: 51, #neighborhood scans: 52, time/iter [ms]: 0.143385, ave size neighbor: 989.461538, init. obj: 159291.187488, obj: 118171.414635, impr. rate [%]: 25.814217
input: ../data/euclid/euclid100_18.phylip, k: 3, totaltime [s]: 0.009874, #improving moves: 60, #neighborhood scans: 61, time/iter [ms]: 0.146918, ave size neighbor: 992.688525, init. obj: 157979.666993, obj: 132128.791283, impr. rate [%]: 16.363420
input: ../data/euclid/euclid100_19.phylip, k: 3, totaltime [s]: 0.008027, #improving moves: 50, #neighborhood scans: 51, time/iter [ms]: 0.139176, ave size neighbor: 985.215686, init. obj: 154106.141885, obj: 145389.597320, impr. rate [%]: 5.656195
input: ../data/euclid/euclid100_20.phylip, k: 3, totaltime [s]: 0.009788, #improving moves: 59, #neighborhood scans: 60, time/iter [ms]: 0.148683, ave size neighbor: 1025.400000, init. obj: 174917.391815, obj: 146125.800056, impr. rate [%]: 16.460108
input: ../data/euclid/euclid100_1.phylip, k: 4, totaltime [s]: 0.015976, #improving moves: 60, #neighborhood scans: 61, time/iter [ms]: 0.247590, ave size neighbor: 1614.032787, init. obj: 168282.257814, obj: 131501.147671, impr. rate [%]: 21.856796
input: ../data/euclid/euclid100_2.phylip, k: 4, totaltime [s]: 0.015004, #improving moves: 57, #neighborhood scans: 58, time/iter [ms]: 0.243776, ave size neighbor: 1601.758621, init. obj: 158763.419155, obj: 136733.437478, impr. rate [%]: 13.875981
input: ../data/euclid/euclid100_3.phylip, k: 4, totaltime [s]: 0.020688, #improving moves: 78, #neighborhood scans: 79, time/iter [ms]: 0.250076, ave size neighbor: 1616.658228, init. obj: 167657.409657, obj: 126863.857059, impr. rate [%]: 24.331494
input: ../data/euclid/euclid100_4.phylip, k: 4, totaltime [s]: 0.017814, #improving moves: 63, #neighborhood scans: 64, time/iter [ms]: 0.263953, ave size neighbor: 1656.375000, init. obj: 182981.006286, obj: 124445.755811, impr. rate [%]: 31.989796
input: ../data/euclid/euclid100_5.phylip, k: 4, totaltime [s]: 0.017416, #improving moves: 66, #neighborhood scans: 67, time/iter [ms]: 0.247104, ave size neighbor: 1606.507463, init. obj: 167899.854843, obj: 125203.017614, impr. rate [%]: 25.429943
input: ../data/euclid/euclid100_6.phylip, k: 4, totaltime [s]: 0.017132, #improving moves: 65, #neighborhood scans: 66, time/iter [ms]: 0.245712, ave size neighbor: 1574.515152, init. obj: 153540.871522, obj: 117068.461109, impr. rate [%]: 23.754203
input: ../data/euclid/euclid100_7.phylip, k: 4, totaltime [s]: 0.018115, #improving moves: 66, #neighborhood scans: 67, time/iter [ms]: 0.256701, ave size neighbor: 1624.925373, init. obj: 164251.023861, obj: 126862.711032, impr. rate [%]: 22.762910
input: ../data/euclid/euclid100_8.phylip, k: 4, totaltime [s]: 0.014783, #improving moves: 56, #neighborhood scans: 57, time/iter [ms]: 0.242175, ave size neighbor: 1558.631579, init. obj: 163437.569510, obj: 130609.808139, impr. rate [%]: 20.085811
input: ../data/euclid/euclid100_9.phylip, k: 4, totaltime [s]: 0.014633, #improving moves: 55, #neighborhood scans: 56, time/iter [ms]: 0.245946, ave size neighbor: 1646.035714, init. obj: 157126.232238, obj: 146316.386536, impr. rate [%]: 6.879721
input: ../data/euclid/euclid100_10.phylip, k: 4, totaltime [s]: 0.015427, #improving moves: 56, #neighborhood scans: 57, time/iter [ms]: 0.254702, ave size neighbor: 1646.456140, init. obj: 154667.803552, obj: 133993.756427, impr. rate [%]: 13.366743
input: ../data/euclid/euclid100_11.phylip, k: 4, totaltime [s]: 0.016549, #improving moves: 62, #neighborhood scans: 63, time/iter [ms]: 0.247587, ave size neighbor: 1594.730159, init. obj: 149039.616244, obj: 127339.524309, impr. rate [%]: 14.559949
input: ../data/euclid/euclid100_12.phylip, k: 4, totaltime [s]: 0.018475, #improving moves: 76, #neighborhood scans: 77, time/iter [ms]: 0.228182, ave size neighbor: 1497.740260, init. obj: 147174.610407, obj: 121057.040110, impr. rate [%]: 17.745975
input: ../data/euclid/euclid100_13.phylip, k: 4, totaltime [s]: 0.013989, #improving moves: 56, #neighborhood scans: 57, time/iter [ms]: 0.227842, ave size neighbor: 1531.052632, init. obj: 154868.092891, obj: 142512.123131, impr. rate [%]: 7.978383
input: ../data/euclid/euclid100_14.phylip, k: 4, totaltime [s]: 0.016049, #improving moves: 59, #neighborhood scans: 60, time/iter [ms]: 0.252000, ave size neighbor: 1610.200000, init. obj: 174702.353401, obj: 126926.181373, impr. rate [%]: 27.347183
