input: ../data/euclid/euclid250_1.phylip, k: 1, totaltime [s]: 0.020608, #improving moves: 124, #neighborhood scans: 125, time/iter [ms]: 0.100880, ave size neighbor: 496.000000, init. obj: 18926.087088, obj: 18495.174653, impr. rate [%]: 2.276817
input: ../data/euclid/euclid250_2.phylip, k: 1, totaltime [s]: 0.019756, #improving moves: 111, #neighborhood scans: 112, time/iter [ms]: 0.097357, ave size neighbor: 496.000000, init. obj: 18090.711397, obj: 17582.802714, impr. rate [%]: 2.807566
input: ../data/euclid/euclid250_3.phylip, k: 1, totaltime [s]: 0.016667, #improving moves: 75, #neighborhood scans: 76, time/iter [ms]: 0.098408, ave size neighbor: 496.000000, init. obj: 18675.594404, obj: 18500.724896, impr. rate [%]: 0.936353
input: ../data/euclid/euclid250_4.phylip, k: 1, totaltime [s]: 0.022351, #improving moves: 145, #neighborhood scans: 146, time/iter [ms]: 0.101336, ave size neighbor: 496.000000, init. obj: 19045.425782, obj: 16798.634788, impr. rate [%]: 11.797011
input: ../data/euclid/euclid250_5.phylip, k: 1, totaltime [s]: 0.018269, #improving moves: 104, #neighborhood scans: 105, time/iter [ms]: 0.101495, ave size neighbor: 496.000000, init. obj: 17786.815922, obj: 16980.326081, impr. rate [%]: 4.534200
input: ../data/euclid/euclid250_6.phylip, k: 1, totaltime [s]: 0.015627, #improving moves: 91, #neighborhood scans: 92, time/iter [ms]: 0.090957, ave size neighbor: 496.000000, init. obj: 16652.729877, obj: 16592.837987, impr. rate [%]: 0.359652
input: ../data/euclid/euclid250_7.phylip, k: 1, totaltime [s]: 0.020548, #improving moves: 128, #neighborhood scans: 129, time/iter [ms]: 0.096054, ave size neighbor: 496.000000, init. obj: 18498.872862, obj: 17929.556189, impr. rate [%]: 3.077575
input: ../data/euclid/euclid250_8.phylip, k: 1, totaltime [s]: 0.020763, #improving moves: 132, #neighborhood scans: 133, time/iter [ms]: 0.098421, ave size neighbor: 496.000000, init. obj: 18381.609528, obj: 17374.787758, impr. rate [%]: 5.477332
input: ../data/euclid/euclid250_9.phylip, k: 1, totaltime [s]: 0.017333, #improving moves: 103, #neighborhood scans: 104, time/iter [ms]: 0.096538, ave size neighbor: 496.000000, init. obj: 17734.805362, obj: 17474.368781, impr. rate [%]: 1.468505
input: ../data/euclid/euclid250_10.phylip, k: 1, totaltime [s]: 0.021957, #improving moves: 125, #neighborhood scans: 126, time/iter [ms]: 0.105770, ave size neighbor: 496.000000, init. obj: 18723.965601, obj: 16644.278861, impr. rate [%]: 11.107085
input: ../data/euclid/euclid250_11.phylip, k: 1, totaltime [s]: 0.020001, #improving moves: 119, #neighborhood scans: 120, time/iter [ms]: 0.098858, ave size neighbor: 496.000000, init. obj: 19341.510601, obj: 18468.908484, impr. rate [%]: 4.511551
