input: ../data/euclid/euclid250_1.phylip, k: 1, totaltime [s]: 0.013551, #improving moves: 97, #neighborhood scans: 98, time/iter [ms]: 0.079327, ave size neighbor: 496.000000, init. obj: 2950275.967144, obj: 2886223.011932, impr. rate [%]: 2.171084
input: ../data/euclid/euclid250_2.phylip, k: 1, totaltime [s]: 0.013746, #improving moves: 103, #neighborhood scans: 104, time/iter [ms]: 0.082096, ave size neighbor: 496.000000, init. obj: 2829849.812481, obj: 2709629.510680, impr. rate [%]: 4.248293
input: ../data/euclid/euclid250_3.phylip, k: 1, totaltime [s]: 0.012851, #improving moves: 87, #neighborhood scans: 88, time/iter [ms]: 0.075114, ave size neighbor: 496.000000, init. obj: 2910252.007171, obj: 2863684.806619, impr. rate [%]: 1.600109
input: ../data/euclid/euclid250_4.phylip, k: 1, totaltime [s]: 0.014505, #improving moves: 115, #neighborhood scans: 116, time/iter [ms]: 0.077966, ave size neighbor: 496.000000, init. obj: 2953276.954979, obj: 2836136.241354, impr. rate [%]: 3.966466
input: ../data/euclid/euclid250_5.phylip, k: 1, totaltime [s]: 0.013762, #improving moves: 98, #neighborhood scans: 99, time/iter [ms]: 0.081091, ave size neighbor: 496.000000, init. obj: 2771536.471003, obj: 2622594.063592, impr. rate [%]: 5.374001
input: ../data/euclid/euclid250_6.phylip, k: 1, totaltime [s]: 0.013595, #improving moves: 99, #neighborhood scans: 100, time/iter [ms]: 0.073990, ave size neighbor: 496.000000, init. obj: 2575120.635818, obj: 2552030.690919, impr. rate [%]: 0.896655
input: ../data/euclid/euclid250_7.phylip, k: 1, totaltime [s]: 0.014307, #improving moves: 111, #neighborhood scans: 112, time/iter [ms]: 0.078080, ave size neighbor: 496.000000, init. obj: 2883354.417040, obj: 2763012.184365, impr. rate [%]: 4.173689
input: ../data/euclid/euclid250_8.phylip, k: 1, totaltime [s]: 0.015000, #improving moves: 120, #neighborhood scans: 121, time/iter [ms]: 0.080504, ave size neighbor: 496.000000, init. obj: 2882712.055564, obj: 2669451.603479, impr. rate [%]: 7.397910
input: ../data/euclid/euclid250_9.phylip, k: 1, totaltime [s]: 0.014230, #improving moves: 123, #neighborhood scans: 124, time/iter [ms]: 0.072581, ave size neighbor: 496.000000, init. obj: 2756240.395630, obj: 2679711.162893, impr. rate [%]: 2.776580
input: ../data/euclid/euclid250_10.phylip, k: 1, totaltime [s]: 0.012780, #improving moves: 98, #neighborhood scans: 99, time/iter [ms]: 0.073111, ave size neighbor: 496.000000, init. obj: 2888047.657703, obj: 2846702.939994, impr. rate [%]: 1.431580
input: ../data/euclid/euclid250_11.phylip, k: 1, totaltime [s]: 0.020800, #improving moves: 162, #neighborhood scans: 163, time/iter [ms]: 0.092834, ave size neighbor: 496.000000, init. obj: 3029082.218234, obj: 2549114.317145, impr. rate [%]: 15.845324
