# Euclidean instances, p=1; 20 instances per (n,k)
# k  mean_n100  se_n100  mean_n250  se_n250  mean_n500  se_n500
1 6.7871128500 1.4405559186 5.4912178000 1.0660776375 4.3527077000 0.6931516588
2 13.6786122500 1.8426424937 14.0262521000 1.2515534765 11.3071125500 1.3113229714
3 16.8570959000 1.8862104051 17.0487047000 1.0612348965 15.2997072500 1.4606869591
4 19.3276029500 1.6212848989 17.4829304000 0.8766320456 18.3744220500 1.4402273726
5 21.3184900000 1.3258754760 19.4871573000 1.2509029960 20.1396838000 1.4168444123
8 20.0699490000 1.6202975151 22.1351469000 1.3441161726 22.0999955500 1.3658748873
10 20.8914157000 1.5791363873 22.5942202000 1.3874077998 22.9687976000 1.1911436499
12 20.7307306500 1.5012619618 23.4567703500 1.4558087326 22.4001093000 1.4964730208
20 20.9857876000 1.4909069950 23.0655689500 1.4401790498 23.0674040500 1.5078377559
