p,n,k,instances,mean_improvement_pct,sd_improvement_pct,se_improvement_pct,mean_time_s,sd_time_s,se_time_s,mean_moves,se_moves
1,100,1,20,6.78711285,6.442361918714687,1.4405559185902015,0.002428,0.00040654461786597236,9.090614014349896e-05,42.05,2.179419285280515
1,100,2,20,13.67861225,8.240547748376814,1.8426424937203387,0.0050252,0.0008578753191215463,0.00019182675297751026,53.1,2.2825424421026654
1,100,3,20,16.8570959,8.43538937143282,1.8862104051203006,0.0093197,0.0017015961268607098,0.00038048846099109025,57.05,2.4044640501411227
1,100,4,20,19.32760295,7.250606489664975,1.6212848988992008,0.015877250000000002,0.002098401443580578,0.00046921682719298615,59.45,1.8502844731497226
1,100,5,20,21.31849,5.9294953882373145,1.3258754760370142,0.02598315,0.004121999237403846,0.0009217070498037293,61.8,2.431806779027955
1,100,8,20,20.069949,7.246190775027438,1.6202975150893237,0.0737854,0.012210262811948074,0.002730297767065362,59.2,2.0424443560029784
1,100,10,20,20.8914157,7.062112615581492,1.5791363873199056,0.1274001,0.024510148520883946,0.005480635823131242,62.65,2.6450300963365834
1,100,12,20,20.73073065,6.713847597123302,1.5012619617741325,0.1779585,0.03138604223888467,0.007018132399082582,62.55,2.379158409362879
1,100,20,20,20.985787600000002,6.66753877779665,1.4909069949769174,0.3020179,0.04754154242111784,0.010630612060880942,65.1,2.6336886280412277
1,250,1,20,5.491217799999999,4.767644133543654,1.0660776375131695,0.014511,0.0019329804366369186,0.0004322275655497375,112.05,4.462401406842449
1,250,2,20,14.026252099999999,5.597117301839741,1.2515534764953868,0.0340651,0.004427455594594401,0.000990009167687483,151.3,4.562490086506894
1,250,3,20,17.0487047,4.745986737252046,1.061234896480801,0.06484845,0.006692631151812456,0.0014965178203785365,158.3,3.5019543415821848
1,250,4,20,17.4829304,3.9204176906476285,0.8766320456480838,0.11158425000000001,0.01020820653290386,0.0022826243735930476,162.1,3.6734466821114733
1,250,5,20,19.4871573,5.594208264465267,1.2509029959635456,0.19520854999999998,0.02466786573123444,0.005515902463487776,174.45,5.348622547712143
1,250,8,20,22.135146900000002,6.011070263340429,1.344116172635676,0.6189598000000001,0.06728949710772496,0.015046388970464848,182.5,5.4601426624894005
1,250,10,20,22.594220200000002,6.204676305760956,1.3874077998063767,1.03699575,0.111823451452384,0.025004483892617817,178.5,5.060424363315995
1,250,12,20,23.45677035,6.510574576810683,1.4558087326330613,1.6125180000000001,0.23172829276456286,0.05181602149315352,187.75,6.882041848172677
1,250,20,20,23.06556895,6.440676510230252,1.4401790497960962,4.05811735,0.3315844873147995,0.07414454539203083,188.45,4.829991282546344
1,500,1,20,4.3527077,3.0998684557603764,0.6931516588387501,0.0731504,0.006769506764276031,0.001513707729906585,219.8,4.838768873435299
1,500,2,20,11.30711255,5.864414608938797,1.3113229713829995,0.1624706,0.0153372126589993,0.003429505009089274,302.1,6.869804256768586
1,500,3,20,15.29970725,6.53239066874549,1.4606869590900224,0.30867049999999996,0.03759586156886503,0.00840669021406541,330.25,7.272831563247455
1,500,4,20,18.37442205,6.440892616188523,1.4402273725574,0.56509205,0.0619517869998199,0.013852840705918504,360.75,8.0075211355851
1,500,5,20,20.1396838,6.336320839060751,1.4168444123388344,0.9189244500000001,0.1127736584423466,0.025216956634843003,367.8,10.233999064007444
1,500,8,20,22.09999555,6.108378193348486,1.3658748872604567,3.0768306500000002,0.3222939394502241,0.07206711573469023,397.95,9.542832802409189
