# Euclidean instances, p=1; 20 instances per (n,k)
# k  mean_n100  se_n100  mean_n250  se_n250  mean_n500  se_n500
1 0.0024280000 0.0000909061 0.0145110000 0.0004322276 0.0731504000 0.0015137077
2 0.0050252000 0.0001918268 0.0340651000 0.0009900092 0.1624706000 0.0034295050
3 0.0093197000 0.0003804885 0.0648484500 0.0014965178 0.3086705000 0.0084066902
4 0.0158772500 0.0004692168 0.1115842500 0.0022826244 0.5650920500 0.0138528407
5 0.0259831500 0.0009217070 0.1952085500 0.0055159025 0.9189244500 0.0252169566
8 0.0737854000 0.0027302978 0.6189598000 0.0150463890 3.0768306500 0.0720671157
10 0.1274001000 0.0054806358 1.0369957500 0.0250044839 5.6347601500 0.1300918911
12 0.1779585000 0.0070181324 1.6125180000 0.0518160215 8.2633316500 0.2364447853
20 0.3020179000 0.0106306121 4.0581173500 0.0741445454 23.5359545000 0.9943390583
