# Euclidean instances, p=2; 20 instances per (n,k)
# k  mean_n100  se_n100  mean_n250  se_n250  mean_n500  se_n500
1 5.4607867000 1.4613046508 4.9634165000 0.9964501530 4.5104380500 1.0121977815
2 10.9402255500 1.6841738108 13.1149432000 1.1753469829 11.4288136000 1.4581792719
3 16.9531875000 1.4848835171 15.7716443500 1.0337257272 15.9744341000 1.3914454535
4 18.2477042500 1.5033226834 18.4730179500 1.3579273167 16.5731716500 1.2421011516
5 18.8722068500 1.3934008773 19.1001035000 1.0272352666 19.1613712000 1.0940965274
8 19.8415206500 1.3749131679 20.2257872000 1.3378612317 19.7110143000 1.1490244777
10 20.0170227500 1.3786185816 20.4789911000 1.2290786125 20.4465894500 1.0182812394
12 19.9447451500 1.2660236377 21.0081384000 1.2533769126 20.9445252000 1.1577924858
20 19.6310910500 1.3131826473 21.1498362000 1.2532112040 21.3346487500 1.1295787998
