family,p,n,instance,k,time_s,improvement_pct,moves,scans,time_per_scan_ms,avg_neighborhood_size,initial_objective,final_objective
Euclidean,1,100,16,3,0.007714,18.790256,47,48,0.142708,975.375,174958.595358,142083.427263
Euclidean,1,100,17,3,0.008356,25.814217,51,52,0.143385,989.461538,159291.187488,118171.414635
Euclidean,1,100,18,3,0.009874,16.36342,60,61,0.146918,992.688525,157979.666993,132128.791283
Euclidean,1,100,19,3,0.008027,5.656195,50,51,0.139176,985.215686,154106.141885,145389.59732
Euclidean,1,100,20,3,0.009788,16.460108,59,60,0.148683,1025.4,174917.391815,146125.800056
Euclidean,1,100,1,4,0.015976,21.856796,60,61,0.24759,1614.032787,168282.257814,131501.147671
Euclidean,1,100,2,4,0.015004,13.875981,57,58,0.243776,1601.758621,158763.419155,136733.437478
Euclidean,1,100,3,4,0.020688,24.331494,78,79,0.250076,1616.658228,167657.409657,126863.857059
Euclidean,1,100,4,4,0.017814,31.989796,63,64,0.263953,1656.375,182981.006286,124445.755811
Euclidean,1,100,5,4,0.017416,25.429943,66,67,0.247104,1606.507463,167899.854843,125203.017614
Euclidean,1,100,6,4,0.017132,23.754203,65,66,0.245712,1574.515152,153540.871522,117068.461109
Euclidean,1,100,7,4,0.018115,22.76291,66,67,0.256701,1624.925373,164251.023861,126862.711032
Euclidean,1,100,8,4,0.014783,20.085811,56,57,0.242175,1558.631579,163437.56951,130609.808139
Euclidean,1,100,9,4,0.014633,6.879721,55,56,0.245946,1646.035714,157126.232238,146316.386536
Euclidean,1,100,10,4,0.015427,13.366743,56,57,0.254702,1646.45614,154667.803552,133993.756427
Euclidean,1,100,11,4,0.016549,14.559949,62,63,0.247587,1594.730159,149039.616244,127339.524309
Euclidean,1,100,12,4,0.018475,17.745975,76,77,0.228182,1497.74026,147174.610407,121057.04011
Euclidean,1,100,13,4,0.013989,7.978383,56,57,0.227842,1531.052632,154868.092891,142512.123131
Euclidean,1,100,14,4,0.016049,27.347183,59,60,0.252,1610.2,174702.353401,126926.181373
Euclidean,1,100,15,4,0.016313,21.129196,60,61,0.251459,1647.57377,170827.550483,134733.063121
Euclidean,1,100,16,4,0.011962,18.675277,45,46,0.241826,1603.173913,174958.595358,142284.593532
Euclidean,1,100,17,4,0.014091,25.913274,51,52,0.254231,1658.961538,159291.187488,118013.625033
Euclidean,1,100,18,4,0.014952,16.36342,56,57,0.245947,1608.912281,157979.666993,132128.791283
Euclidean,1,100,19,4,0.012173,5.65605,46,47,0.240404,1617.744681,154106.141885,145389.821533
Euclidean,1,100,20,4,0.016004,26.849954,56,57,0.263965,1707.087719,174917.391815,127952.152588
Euclidean,1,100,1,5,0.025361,21.733543,60,61,0.401311,2426.196721,168282.257814,131708.560327
Euclidean,1,100,2,5,0.026599,20.035704,61,62,0.414161,2497.903226,158763.419155,126954.0497
Euclidean,1,100,3,5,0.031691,25.737354,75,76,0.405289,2393.842105,167657.409657,124506.8293
Euclidean,1,100,4,5,0.029827,33.848695,69,70,0.413371,2437.771429,182981.006286,121044.324003
Euclidean,1,100,5,5,0.026521,25.402766,62,63,0.405508,2412.285714,167899.854843,125248.646877
Euclidean,1,100,6,5,0.023773,23.655047,57,58,0.395069,2330.517241,153540.871522,117220.706482
Euclidean,1,100,7,5,0.029309,25.266717,69,70,0.406114,2457.428571,164251.023861,122750.182968
Euclidean,1,100,8,5,0.019975,23.101192,48,49,0.390551,2328.367347,163437.56951,125681.5431
Euclidean,1,100,9,5,0.027714,19.154377,66,67,0.400851,2387.014925,157126.232238,127029.681668
Euclidean,1,100,10,5,0.02382,13.081271,55,56,0.409018,2467.821429,154667.803552,134435.288407
Euclidean,1,100,11,5,0.02477,14.447459,59,60,0.399083,2393.366667,149039.616244,127507.178941
Euclidean,1,100,12,5,0.028305,17.989183,75,76,0.361105,2212.973684,147174.610407,120699.100891
Euclidean,1,100,13,5,0.031771,21.122806,81,82,0.377049,2231.780488,154868.092891,122155.606194
Euclidean,1,100,14,5,0.024613,28.413857,62,63,0.375429,2242.190476,174702.353401,125062.676993
Euclidean,1,100,15,5,0.033363,21.947885,78,79,0.409544,2461.417722,170827.550483,133334.515707
Euclidean,1,100,16,5,0.022285,22.776994,51,52,0.412308,2474.076923,174958.595358,135108.285892
Euclidean,1,100,17,5,0.019576,20.856553,44,45,0.415556,2435.6,159291.187488,126068.536769
Euclidean,1,100,18,5,0.023266,16.36342,54,55,0.407218,2428.618182,157979.666993,132128.791283
Euclidean,1,100,19,5,0.018863,6.296318,43,44,0.408091,2498.272727,154106.141885,144403.129485
Euclidean,1,100,20,5,0.028261,25.138659,67,68,0.402515,2440.941176,174917.391815,130945.505615
Euclidean,1,100,1,8,0.076506,18.833578,55,56,1.350446,6126.464286,168282.257814,136588.687489
Euclidean,1,100,2,8,0.08998,20.055372,67,68,1.310441,5900.764706,158763.419155,126922.825616
Euclidean,1,100,3,8,0.09447,24.455853,62,63,1.485635,6742.857143,167657.409657,126655.360113
Euclidean,1,100,4,8,0.087198,34.0996,72,73,1.182493,5429.917808,182981.006286,120585.214722
Euclidean,1,100,5,8,0.075333,25.164301,59,60,1.240083,5757.733333,167899.854843,125649.030643
Euclidean,1,100,6,8,0.07833,24.679365,69,70,1.106671,5066.857143,153540.871522,115647.959827
Euclidean,1,100,7,8,0.083964,25.325702,68,69,1.204072,5489.304348,164251.023861,122653.298603
Euclidean,1,100,8,8,0.057952,24.392558,52,53,1.076717,5008.490566,163437.56951,123570.9659
Euclidean,1,100,9,8,0.07092,7.68072,53,54,1.29737,5893.037037,157126.232238,145057.806594
Euclidean,1,100,10,8,0.087252,15.414311,67,68,1.269676,5794.970588,154667.803552,130826.82719
Euclidean,1,100,11,8,0.076337,15.733831,68,69,1.094,5052.115942,149039.616244,125589.974678
Euclidean,1,100,12,8,0.072949,19.351335,62,63,1.143667,5265.142857,147174.610407,118694.358874
Euclidean,1,100,13,8,0.05306,7.768415,49,50,1.04368,4869.72,154868.092891,142837.296058
